"Community","Perspective_Toxicity","probability_of_user_finding_comment_sexist"
"C",0.9,0.714789824842266
"C",0.91,0.720270346667623
"C",0.92,0.725685971810542
"C",0.93,0.731035901623907
"C",0.94,0.736319404159896
"C",0.95,0.741535813489871
"C",0.96,0.746684528913492
"C",0.97,0.751765014063066
"C",0.98,0.756776795909306
"C",0.99,0.761719463674775
"B",0.01,0.212594412278715
"B",0.02,0.217156167970319
"B",0.03,0.221788236791861
"B",0.04,0.226490524409241
"B",0.05,0.231262881494282
"B",0.06,0.23610510224746
"B",0.07,0.24101692297827
"B",0.08,0.245998020749523
"B",0.09,0.251048012091971
"B",0.1,0.256166451795625
"B",0.11,0.261352831784199
"B",0.12,0.266606580079042
"B",0.13,0.271927059858881
"B",0.14,0.277313568621597
"B",0.15,0.282765337454123
"B",0.16,0.288281530416415
"B",0.17,0.2938612440452
"B",0.18,0.299503506983012
"B",0.19,0.305207279737725
"B",0.2,0.310971454577475
"B",0.21,0.316794855565533
"B",0.22,0.322676238739282
"B",0.23,0.328614292437024
"B",0.24,0.334607637775904
"B",0.25,0.340654829283716
"B",0.26,0.346754355686847
"B",0.27,0.35290464085606
"B",0.28,0.359104044911211
"B",0.29,0.365350865485428
"B",0.3,0.371643339148591
"B",0.31,0.377979642989376
"B",0.32,0.384357896354396
"B",0.33,0.390776162742344
"B",0.34,0.397232451850341
"B",0.35,0.403724721769026
"B",0.36,0.410250881322231
"B",0.37,0.416808792546409
"B",0.38,0.42339627330435
"B",0.39,0.430011100027039
"B",0.4,0.436651010576895
"B",0.41,0.443313707225059
"B",0.42,0.449996859734774
"B",0.43,0.456698108542421
"B",0.44,0.463415068027232
"B",0.45,0.470145329860276
"B",0.46,0.476886466422875
"B",0.47,0.48363603428427
"B",0.48,0.490391577728032
"B",0.49,0.49715063231645
"B",0.5,0.503910728481945
"B",0.51,0.510669395134401
"B",0.52,0.517424163273219
"B",0.53,0.52417256959289
"B",0.54,0.530912160070893
"B",0.55,0.537640493526848
"B",0.56,0.544355145141973
"B",0.57,0.551053709928141
"B",0.58,0.557733806136055
"B",0.59,0.564393078592432
"B",0.6,0.571029201956405
"B",0.61,0.577639883885802
"B",0.62,0.584222868104426
"B",0.63,0.590775937361932
"B",0.64,0.597296916278494
"B",0.65,0.603783674066967
"B",0.66,0.610234127125908
"B",0.67,0.616646241497412
"B",0.68,0.623018035184387
"B",0.69,0.629347580322545
"B",0.7,0.635633005203067
"B",0.71,0.641872496142576
"B",0.72,0.648064299197738
"B",0.73,0.654206721722478
"B",0.74,0.660298133766499
"B",0.75,0.6663369693144
"B",0.76,0.672321727365403
"B",0.77,0.678250972854256
"B",0.78,0.684123337414539
"B",0.79,0.689937519986147
"B",0.8,0.69569228726929
"B",0.81,0.70138647402786
"B",0.82,0.707018983245526
"B",0.83,0.712588786138344
"B",0.84,0.718094922028114
"B",0.85,0.723536498081094
"B",0.86,0.728912688917005
"B",0.87,0.734222736093612
"B",0.88,0.73946594747239
"B",0.89,0.744641696471055
"B",0.9,0.749749421208914
"B",0.91,0.754788623551145
"B",0.92,0.759758868058263
"B",0.93,0.764659780847086
"B",0.94,0.769491048369592
"B",0.95,0.774252416116074
"B",0.96,0.77894368724898
"B",0.97,0.78356472117382
"B",0.98,0.788115432053406
"B",0.99,0.792595787271657
