"Community","Perspective_Identity_Attack","probability_of_user_finding_comment_sexist"
"B",0.28,0.578645873194991
"B",0.29,0.594022223096751
"B",0.3,0.609216399178315
"B",0.31,0.624201668904039
"B",0.32,0.638952855998635
"B",0.33,0.653446488697718
"B",0.34,0.667660922665819
"B",0.35,0.681576437760694
"B",0.36,0.695175308425815
"B",0.37,0.708441848062916
"B",0.38,0.721362428256817
"B",0.39,0.733925474182198
"B",0.4,0.746121437907009
"B",0.41,0.757942751614156
"B",0.42,0.769383762989861
"B",0.43,0.780440655175047
"B",0.44,0.791111353749271
"B",0.45,0.801395423221555
"B",0.46,0.811293955447094
"B",0.47,0.820809452282337
"B",0.48,0.829945704643261
"B",0.49,0.838707669952321
"B",0.5,0.847101349758298
"B",0.51,0.85513366909849
"B",0.52,0.862812358952468
"B",0.53,0.87014584291754
"B",0.54,0.877143129023763
"B",0.55,0.883813707405247
"B",0.56,0.890167454357991
"B",0.57,0.896214543144785
"B",0.58,0.901965361756329
"B",0.59,0.907430437705173
"B",0.6,0.912620369815395
"B",0.61,0.917545766875495
"B",0.62,0.922217192943897
"B",0.63,0.926645119034348
"B",0.64,0.930839880861105
"B",0.65,0.934811642289345
"B",0.66,0.938570364113383
"B",0.67,0.942125777772208
"B",0.68,0.945487363607274
"B",0.69,0.948664333269836
"B",0.7,0.951665615893153
"B",0.71,0.954499847657454
"B",0.72,0.957175364391534
"B",0.73,0.959700196873412
"B",0.74,0.962082068512727
"B",0.75,0.964328395118934
"B",0.76,0.966446286481201
"B",0.77,0.96844254950782
"B",0.78,0.970323692694574
"B",0.79,0.972095931712451
"B",0.8,0.973765195925278
"B",0.81,0.975337135667029
"B",0.82,0.976817130126615
"B",0.83,0.978210295704885
"B",0.84,0.97952149472425
"B",0.85,0.980755344385847
"B",0.86,0.98191622588246
"B",0.87,0.983008293587524
"B",0.88,0.984035484251585
"B",0.89,0.985001526147516
"B",0.9,0.985909948114762
"B",0.91,0.986764088460887
"B",0.92,0.98756710368584
"B",0.93,0.988321977000706
"B",0.94,0.989031526618278
"B",0.95,0.989698413797749
"B",0.96,0.990325150630093
"B",0.97,0.990914107554462
"B",0.98,0.991467520599207
"B",0.99,0.991987498343868
