"Community","Perspective_Profanity","probability_of_user_finding_comment_sexist"
"A",0.76,0.772698141915296
"A",0.77,0.775072056362921
"A",0.78,0.777428319384051
"A",0.79,0.779766912712391
"A",0.8,0.782087821582052
"A",0.81,0.784391034679594
"A",0.82,0.786676544095272
"A",0.83,0.788944345273556
"A",0.84,0.791194436962951
"A",0.85,0.793426821165183
"A",0.86,0.795641503083786
"A",0.87,0.797838491072143
"A",0.88,0.800017796581026
"A",0.89,0.802179434105673
"A",0.9,0.804323421132466
"A",0.91,0.806449778085225
"A",0.92,0.808558528271188
"A",0.93,0.810649697826701
"A",0.94,0.812723315662669
"A",0.95,0.814779413409803
"A",0.96,0.816818025363712
"A",0.97,0.818839188429857
"A",0.98,0.820842942068438
"A",0.99,0.822829328239213
"C",0.01,0.250826613881804
"C",0.02,0.253384507013893
"C",0.03,0.255959573062806
"C",0.04,0.258551746205688
"C",0.05,0.261160956573011
"C",0.06,0.263787130217761
"C",0.07,0.266430189086193
"C",0.08,0.269090050990209
"C",0.09,0.271766629581415
"C",0.1,0.274459834326891
"C",0.11,0.277169570486738
"C",0.12,0.279895739093435
"C",0.13,0.282638236933069
"C",0.14,0.285396956528458
"C",0.15,0.288171786124243
"C",0.16,0.290962609673968
"C",0.17,0.293769306829199
"C",0.18,0.296591752930724
"C",0.19,0.299429819001879
"C",0.2,0.302283371744024
"C",0.21,0.305152273534218
"C",0.22,0.308036382425132
"C",0.23,0.310935552147216
"C",0.24,0.313849632113177
"C",0.25,0.316778467424781
"C",0.26,0.319721898882007
"C",0.27,0.322679762994599
"C",0.28,0.325651891996023
"C",0.29,0.328638113859854
"C",0.3,0.331638252318625
"C",0.31,0.334652126885148
"C",0.32,0.337679552876329
"C",0.33,0.340720341439482
"C",0.34,0.343774299581174
"C",0.35,0.346841230198584
"C",0.36,0.349920932113413
"C",0.37,0.353013200108324
"C",0.38,0.356117824965935
"C",0.39,0.359234593510352
"C",0.4,0.362363288651243
"C",0.41,0.365503689430457
"C",0.42,0.368655571071163
"C",0.43,0.371818705029516
"C",0.44,0.374992859048825
"C",0.45,0.378177797216217
"C",0.46,0.381373280021767
"C",0.47,0.384579064420082
"C",0.48,0.387794903894317
"C",0.49,0.391020548522588
"C",0.5,0.394255745046754
"C",0.51,0.397500236943544
"C",0.52,0.400753764497987
"C",0.53,0.404016064879107
"C",0.54,0.40728687221785
"C",0.55,0.41056591768719
"C",0.56,0.413852929584378
"C",0.57,0.417147633415282
"C",0.58,0.420449751980761
"C",0.59,0.423759005465038
"C",0.6,0.427075111525992
"C",0.61,0.43039778538733
"C",0.62,0.433726739932576
"C",0.63,0.437061685800803
"C",0.64,0.440402331484055
"C",0.65,0.443748383426388
"C",0.66,0.447099546124462
